patch,mesh,nearest_patch,nearest_mesh,same_mesh,token_cos,geometry_dist,normal_var,linearity,planarity,surface_var
23,shapenet/03642806/241ec8a746dd1cfc78f71a335ebabfa5,26,shapenet/04379243/a96c429fad0af4c6bd1cdc725a461877,0,0.8747778534889221,1.3308478593826294,0.3437269330024719,0.3303033113479614,0.572451114654541,0.15300509333610535
24,shapenet/04379243/a96c429fad0af4c6bd1cdc725a461877,13,shapenet/02691156/577ef32f6c313a5e4ca16f43c2716caf,0,0.858445405960083,2.1251349449157715,0.5408768057823181,0.6247835159301758,0.21920813620090485,0.15040169656276703
25,shapenet/04379243/a96c429fad0af4c6bd1cdc725a461877,77,shapenet/04379243/66a3fb3a480c2b9e7b22e9efea2f565,0,0.9700707793235779,2.2599830627441406,0.18754756450653076,0.3208927810192108,0.650336742401123,0.1327752023935318
26,shapenet/04379243/a96c429fad0af4c6bd1cdc725a461877,0,shapenet/02691156/5cd14216765393f18b96ae1a0a8b84ec,0,0.9626427888870239,1.7544341087341309,0.2236580103635788,0.5459888577461243,0.4290103614330292,0.14175239205360413
27,shapenet/04379243/a96c429fad0af4c6bd1cdc725a461877,49,shapenet/04379243/9fc9605f6ed5762553cc33364504d5,0,0.9971249103546143,0.9780834317207336,0.06779549270868301,0.0659242495894432,0.9208390116691589,0.11509041488170624
28,shapenet/02691156/f50eba69a3be1a1e536cfc00d8c31ac5,118,shapenet/04379243/a4cd409ceb0aa148d93cf5f5bfd78ab4,0,0.8291060328483582,2.7722713947296143,0.4824317693710327,0.6424228549003601,0.26434311270713806,0.06468662619590759
29,shapenet/02691156/f50eba69a3be1a1e536cfc00d8c31ac5,24,shapenet/04379243/a96c429fad0af4c6bd1cdc725a461877,0,0.8505929708480835,3.7325119972229004,0.29710397124290466,0.3363441228866577,0.562078058719635,0.024452313780784607
30,shapenet/02691156/f50eba69a3be1a1e536cfc00d8c31ac5,87,shapenet/02691156/ea06bef342fbfd4236f3a2343a8221f2,0,0.9483960866928101,2.2051100730895996,0.37392109632492065,0.06657891720533371,0.8463147282600403,0.0759824588894844
31,shapenet/02691156/f50eba69a3be1a1e536cfc00d8c31ac5,2,shapenet/02691156/5cd14216765393f18b96ae1a0a8b84ec,0,0.7724905610084534,2.5298123359680176,0.49411171674728394,0.04318368807435036,0.5954400897026062,0.08711869269609451
32,shapenet/04401088/a1c60f087535c7726fde3adc6768fe52,34,shapenet/04401088/a1c60f087535c7726fde3adc6768fe52,1,0.8973960876464844,1.5729882717132568,0.43982160091400146,0.48600271344184875,0.2639469504356384,0.03616827726364136
33,shapenet/04401088/a1c60f087535c7726fde3adc6768fe52,70,shapenet/04401088/9f56c8a7cb64f4c36c87ee6c360661c8,0,0.9864931106567383,1.3073468208312988,0.20766976475715637,0.11206672340631485,0.5100687742233276,0.01347627304494381
34,shapenet/04401088/a1c60f087535c7726fde3adc6768fe52,32,shapenet/04401088/a1c60f087535c7726fde3adc6768fe52,1,0.8973960876464844,1.5729882717132568,0.18090638518333435,0.3952791392803192,0.2760400176048279,0.014537684619426727
35,shapenet/04401088/a1c60f087535c7726fde3adc6768fe52,94,shapenet/04379243/eafa1680912b4ee3391e4d6c585a697a,0,0.9382721185684204,2.6537091732025146,0.386028528213501,0.6075673699378967,0.1422300785779953,0.020223654806613922
36,shapenet/02691156/b7b657d7db3c3b8cd13ef00338ba8c52,19,shapenet/02691156/29b92db18649b64e959a8a7d5a8a5077,0,0.8898065090179443,1.1641325950622559,0.5725421905517578,0.5622465014457703,0.2319086194038391,0.13739292323589325
37,shapenet/02691156/b7b657d7db3c3b8cd13ef00338ba8c52,64,shapenet/04256520/c8962afab63de682a9ed6dce8b2a37bc,0,0.9630141258239746,1.389062762260437,0.41598594188690186,0.5086029171943665,0.21766749024391174,0.06378932297229767
38,shapenet/02691156/b7b657d7db3c3b8cd13ef00338ba8c52,19,shapenet/02691156/29b92db18649b64e959a8a7d5a8a5077,0,0.5958627462387085,1.2644011974334717,0.46432286500930786,0.1829022765159607,0.2412933111190796,0.1322827935218811
39,shapenet/02691156/b7b657d7db3c3b8cd13ef00338ba8c52,17,shapenet/02691156/29b92db18649b64e959a8a7d5a8a5077,0,0.970517635345459,1.0641982555389404,0.07818759232759476,0.9237779378890991,0.07473679631948471,0.051608387380838394
40,shapenet/04379243/e94dcd39a8e438851b17743c18fb63dc,41,shapenet/04379243/e94dcd39a8e438851b17743c18fb63dc,1,0.9981892704963684,0.5849337577819824,0.07843143492937088,0.14509743452072144,0.8390573859214783,0.12205816060304642
41,shapenet/04379243/e94dcd39a8e438851b17743c18fb63dc,40,shapenet/04379243/e94dcd39a8e438851b17743c18fb63dc,1,0.9981892704963684,0.5849337577819824,0.049721501767635345,0.08142372220754623,0.9064520001411438,0.10472307354211807
42,shapenet/04379243/e94dcd39a8e438851b17743c18fb63dc,52,shapenet/04379243/8e3bfa092e83c28d55f46d55537192b6,0,0.9285906553268433,2.2890799045562744,0.002209997735917568,0.12371057271957397,0.5935962200164795,0.0018018173286691308
43,shapenet/04379243/e94dcd39a8e438851b17743c18fb63dc,59,shapenet/04256520/79b544db8d95c3dbc1a25f36f85c3fd6,0,0.7069882154464722,2.3379666805267334,0.5690663456916809,0.5127996206283569,0.19351431727409363,0.125429168343544
44,shapenet/04401088/a3c1c9fc390b1bbbb099170e6f5a4af9,68,shapenet/04401088/9f56c8a7cb64f4c36c87ee6c360661c8,0,0.9426314830780029,1.5258241891860962,0.22051385045051575,0.18073706328868866,0.7350989580154419,0.08336282521486282
45,shapenet/04401088/a3c1c9fc390b1bbbb099170e6f5a4af9,70,shapenet/04401088/9f56c8a7cb64f4c36c87ee6c360661c8,0,0.9671453237533569,0.8613680601119995,0.13966132700443268,0.11687134206295013,0.7214633226394653,0.04894048720598221
46,shapenet/04401088/a3c1c9fc390b1bbbb099170e6f5a4af9,32,shapenet/04401088/a1c60f087535c7726fde3adc6768fe52,0,0.8491433262825012,2.154940605163574,0.1342024803161621,0.42624586820602417,0.4681514501571655,0.07955370843410492
47,shapenet/04401088/a3c1c9fc390b1bbbb099170e6f5a4af9,70,shapenet/04401088/9f56c8a7cb64f4c36c87ee6c360661c8,0,0.9788452982902527,0.5791833996772766,0.12296953797340393,0.09120787680149078,0.7234193086624146,0.03361664339900017
48,shapenet/04379243/9fc9605f6ed5762553cc33364504d5,65,shapenet/04256520/c8962afab63de682a9ed6dce8b2a37bc,0,0.8998066782951355,2.1145076751708984,0.20774787664413452,0.5430912375450134,0.40956294536590576,0.08131998777389526
49,shapenet/04379243/9fc9605f6ed5762553cc33364504d5,78,shapenet/04379243/66a3fb3a480c2b9e7b22e9efea2f565,0,0.9988473653793335,0.5211321711540222,0.11666914075613022,0.1489318609237671,0.829657256603241,0.08139496296644211
50,shapenet/04379243/9fc9605f6ed5762553cc33364504d5,35,shapenet/04401088/a1c60f087535c7726fde3adc6768fe52,0,0.76165771484375,2.731632947921753,0.5700759291648865,0.29608994722366333,0.5393665432929993,0.07939422875642776
51,shapenet/04379243/9fc9605f6ed5762553cc33364504d5,7,shapenet/04379243/862cf2d35bd106c55230ba3c88b645e3,0,0.7949409484863281,1.4508490562438965,0.31580689549446106,0.5696094036102295,0.13269145786762238,0.08576962351799011
52,shapenet/04379243/8e3bfa092e83c28d55f46d55537192b6,42,shapenet/04379243/e94dcd39a8e438851b17743c18fb63dc,0,0.9285906553268433,2.2890799045562744,0.2589988708496094,0.35353562235832214,0.39738139510154724,0.05524035543203354
53,shapenet/04379243/8e3bfa092e83c28d55f46d55537192b6,74,shapenet/02691156/ee30cf94a209a45b91d43bb96e1bb0b1,0,0.9314026236534119,2.146500587463379,0.20004062354564667,0.5620049834251404,0.2793346345424652,0.05958973616361618
54,shapenet/04379243/8e3bfa092e83c28d55f46d55537192b6,15,shapenet/02691156/577ef32f6c313a5e4ca16f43c2716caf,0,0.8797147274017334,3.0595192909240723,0.22520221769809723,0.6657324433326721,0.187860906124115,0.04834756255149841
55,shapenet/04379243/8e3bfa092e83c28d55f46d55537192b6,111,shapenet/02691156/1b90541c9d95d65d2b48e2e94b50fd01,0,0.9301230311393738,3.9835455417633057,0.009034634567797184,0.02853318676352501,0.8014429211616516,0.003688475349918008
56,shapenet/04256520/79b544db8d95c3dbc1a25f36f85c3fd6,82,shapenet/02871439/1d3014ad5c35944f9af68b4b3261e1f8,0,0.9102702140808105,0.9785173535346985,0.32114532589912415,0.17406687140464783,0.5288622975349426,0.08159871399402618
57,shapenet/04256520/79b544db8d95c3dbc1a25f36f85c3fd6,64,shapenet/04256520/c8962afab63de682a9ed6dce8b2a37bc,0,0.8866254091262817,1.70822274684906,0.4351150393486023,0.5565529465675354,0.15603943169116974,0.06960450857877731
58,shapenet/04256520/79b544db8d95c3dbc1a25f36f85c3fd6,112,shapenet/04256520/2314a3400230f50d14038d588fd1342f,0,0.8331760764122009,1.8286678791046143,0.5416832566261292,0.5208129286766052,0.23017902672290802,0.09816667437553406
59,shapenet/04256520/79b544db8d95c3dbc1a25f36f85c3fd6,117,shapenet/04379243/a4cd409ceb0aa148d93cf5f5bfd78ab4,0,0.8383020162582397,2.0061817169189453,0.49487364292144775,0.10095791518688202,0.31778109073638916,0.06919874995946884
60,shapenet/04379243/1c2fb38795e6e3c858df8eeaf3dad1c,103,shapenet/04379243/2f5d2dfc1c8b75666c8f2acb6194d7e9,0,0.8736475110054016,1.7703384160995483,0.521690845489502,0.48292288184165955,0.3661115765571594,0.14971324801445007
61,shapenet/04379243/1c2fb38795e6e3c858df8eeaf3dad1c,67,shapenet/04256520/c8962afab63de682a9ed6dce8b2a37bc,0,0.9736184477806091,2.6860744953155518,0.5448246598243713,0.20300011336803436,0.5660365223884583,0.13127857446670532
62,shapenet/04379243/1c2fb38795e6e3c858df8eeaf3dad1c,104,shapenet/04330267/54b9ac27f2bae92627a11dcb35000f7a,0,0.9817655086517334,4.079121112823486,0.38621413707733154,0.08453391492366791,0.8216801881790161,0.1577969640493393
63,shapenet/04379243/1c2fb38795e6e3c858df8eeaf3dad1c,76,shapenet/04379243/66a3fb3a480c2b9e7b22e9efea2f565,0,0.8636051416397095,2.4815142154693604,0.43503105640411377,0.2445617914199829,0.6087632775306702,0.15161125361919403
64,shapenet/04256520/c8962afab63de682a9ed6dce8b2a37bc,65,shapenet/04256520/c8962afab63de682a9ed6dce8b2a37bc,1,0.9889593720436096,2.4484376907348633,0.4929654896259308,0.32859620451927185,0.43906980752944946,0.04050242528319359
65,shapenet/04256520/c8962afab63de682a9ed6dce8b2a37bc,64,shapenet/04256520/c8962afab63de682a9ed6dce8b2a37bc,1,0.9889593720436096,2.4484376907348633,0.33017849922180176,0.707149088382721,0.07090413570404053,0.02726607955992222
66,shapenet/04256520/c8962afab63de682a9ed6dce8b2a37bc,56,shapenet/04256520/79b544db8d95c3dbc1a25f36f85c3fd6,0,0.8701298832893372,1.6649973392486572,0.5404120683670044,0.07377105951309204,0.5961242914199829,0.037939947098493576
